2025-10-24 02:21:08 - INFO - [actualiza_db] - Inicio del pipeline de actualización INTENTO --> 1
2025-10-24 02:21:08 - INFO - [actualiza_db] - Data existente cargada desde db/db.parquet
2025-10-24 02:21:40 - ERROR - [actualiza_db] - Error al obtener data de Bitcoin: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:21:40 - ERROR - [actualiza_db] - Error al obtener data de hoy: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:21:40 - CRITICAL - [actualiza_db] - Pipeline falló en intento 1: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:22:40 - INFO - [actualiza_db] - Inicio del pipeline de actualización INTENTO --> 2
2025-10-24 02:22:40 - INFO - [actualiza_db] - Data existente cargada desde db/db.parquet
2025-10-24 02:23:40 - ERROR - [actualiza_db] - Error al obtener data de Bitcoin: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:23:40 - ERROR - [actualiza_db] - Error al obtener data de hoy: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:23:40 - CRITICAL - [actualiza_db] - Pipeline falló en intento 2: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:24:40 - INFO - [actualiza_db] - Inicio del pipeline de actualización INTENTO --> 3
2025-10-24 02:24:40 - INFO - [actualiza_db] - Data existente cargada desde db/db.parquet
2025-10-24 02:25:18 - ERROR - [actualiza_db] - Error al obtener data de Bitcoin: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:25:18 - ERROR - [actualiza_db] - Error al obtener data de hoy: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:25:18 - CRITICAL - [actualiza_db] - Pipeline falló en intento 3: Expecting value: line 1 column 1 (char 0)
2025-10-24 02:26:18 - WARNING - [actualiza_db] - Pipeline falló tras 3 intentos consecutivos
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-24.log (antigüedad: 30 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-08.log (antigüedad: 16 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-06.log (antigüedad: 18 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-25.log (antigüedad: 29 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-05.log (antigüedad: 19 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-30.log (antigüedad: 24 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-02.log (antigüedad: 22 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-29.log (antigüedad: 25 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-26.log (antigüedad: 28 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-03.log (antigüedad: 21 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-04.log (antigüedad: 20 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-27.log (antigüedad: 27 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-23.log (antigüedad: 31 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-01.log (antigüedad: 23 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-22.log (antigüedad: 32 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-10-07.log (antigüedad: 17 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Log eliminado: log_actualiza_db_2025-09-28.log (antigüedad: 26 días)
2025-10-24 02:26:18 - INFO - [actualiza_db] - Total de logs eliminados: 17
